batch_id,target,distance,abs_error,pct_error
1,MOR_MPa,0.9889003266217076,9.4031886715102,45.4219987779694
1,WA_pct,0.9889003266217076,0.2943550189901396,95.74180467383118
1,Shrinkage_pct,0.9889003266217076,1.6808590382489648,120.06135987492603
2,MOR_MPa,0.8022216734692275,1.3610247454826307,6.574414965574596
2,WA_pct,0.8022216734692275,0.04550901780118144,14.80224630844353
2,Shrinkage_pct,0.8022216734692275,1.3655375443713869,97.53839602652761
3,MOR_MPa,0.9846977359776948,6.865155358991821,33.16205695962232
3,WA_pct,0.9846977359776948,0.11362527337435147,36.957714418255755
3,Shrinkage_pct,0.9846977359776948,1.0307179571525644,73.62271122518315
4,MOR_MPa,0.7296940973278758,9.680371179306732,46.760925813279705
4,WA_pct,0.7296940973278758,0.05324962413111756,17.319953062146247
4,Shrinkage_pct,0.7296940973278758,0.5441368154046256,38.86691538604467
5,MOR_MPa,0.7126602152978725,12.121392795689907,58.552253707431824
5,WA_pct,0.7126602152978725,0.1511413518663871,49.16018024144906
5,Shrinkage_pct,0.7126602152978725,0.08804272442138128,6.288766030098661
6,MOR_MPa,0.7924520802903942,7.561815181060162,36.52726451762045
6,WA_pct,0.7924520802903942,0.1885522152647212,61.328423842155836
6,Shrinkage_pct,0.7924520802903942,0.4170052397335944,29.78608855239959
7,MOR_MPa,0.961639111896725,24.149364837880277,116.65323949931607
7,WA_pct,0.961639111896725,0.3359023882087562,109.25548662865998
7,Shrinkage_pct,0.961639111896725,1.9112877636422585,136.52055454587557
8,MOR_MPa,0.6903669370095552,17.202352357930515,83.09577262312101
8,WA_pct,0.6903669370095552,0.11492020947054016,37.37890485425285
8,Shrinkage_pct,0.6903669370095552,0.9759394283663863,69.70995916902757
