AG98,AG22,AG23,SodaF,PotashF,Crushing,ETP,NaSil,MOR_MPa,WA_pct,Shrinkage_pct,split
16.64899793023373,3.7568781866828207,14.681205512645768,38.91564440405876,20.46746428391135,2.2939068100358417,2.2939068100358417,0.9419960623958806,41.854782199999995,1.015,10.23,calibration
16.262837371626286,2.9969700302996967,13.329866701332987,42.82657173428265,17.493825061749384,3.4599654003459963,2.9329706702932965,0.6969930300696993,58.128917875,1.234,11.56,calibration
18.288,3.531,11.694,38.474,20.491,3.1709999999999994,3.04,1.311,61.6053753,0.9109,11.18,calibration
16.078160781607817,3.726037260372604,13.321133211332114,42.473424734247345,17.78417784177842,3.1040310403104034,2.6240262402624026,0.889008890088901,44.399607874999994,0.8562000000000001,10.27,calibration
17.857142857142858,2.976190476190476,11.904761904761903,44.047619047619044,17.857142857142858,2.380952380952381,2.380952380952381,0.5952380952380952,62.55662034999999,0.3249,11.63,calibration
17.841213202497773,3.568242640499554,13.380909901873327,38.35860838537021,19.625334522747547,3.12221231043711,2.7653880463871543,1.3380909901873328,50.602314,0.2542,10.88,calibration
19.794197941979423,3.924039240392404,14.996149961499617,37.33137331373314,16.334163341633417,3.392033920339203,3.098030980309803,1.1300113001130012,55.240859449999995,0.17600000000000002,11.76,calibration
19.854,2.642,14.792,41.975,15.251000000000001,2.195,2.383,0.9079999999999999,41.2075433,0.7100000000000001,10.54,calibration
19.669,3.763,10.543,42.802,15.432000000000002,3.321,3.023,1.447,64.0570378,0.28900000000000003,10.92,calibration
19.96339926798536,2.5710514210284208,14.774295485909716,37.04674093481869,20.05940118802376,2.037040740814816,2.0830416608332167,1.4650293005860118,58.1730478,2.303,11.69,calibration
19.297807021929778,2.941970580294197,10.151898481015188,41.38258617413826,21.508784912150876,2.031979680203198,2.106978930210698,0.5779942200577993,51.86737184999999,1.38,11.33,calibration
15.017849821501786,2.607973920260797,14.008859911400886,41.73258267417325,21.38778612213878,2.5489745102548973,2.104978950210498,0.5909940900590993,58.37898745,0.649,10.14,calibration
16.736999999999995,2.6399999999999997,10.598999999999998,42.989999999999995,21.302999999999997,2.0629999999999997,2.3039999999999994,1.3639999999999999,40.34455809999999,0.22899999999999998,10.17,calibration
